Proteins,Gene Symbol,Molecular Weight,Protein Grouping Ambiguity,Total Spectrum Count_hFT1-1,Total Spectrum Count_hFT1-2,Total Spectrum Count_hFT1-3,Exclusive Spectrum Count_hFT1-1,Exclusive Spectrum Count_hFT1-2,Exclusive Spectrum Count_hFT1-3,Total Unique Spectrum Count_hFT1-1,Total Unique Spectrum Count_hFT1-2,Total Unique Spectrum Count_hFT1-3,Exclusive Unique Spectrum Count_hFT1-1,Exclusive Unique Spectrum Count_hFT1-2,Exclusive Unique Spectrum Count_hFT1-3,Total Unique Peptide Count_hFT1-1,Total Unique Peptide Count_hFT1-2,Total Unique Peptide Count_hFT1-3,Exclusive Unique Peptide Count_hFT1-1,Exclusive Unique Peptide Count_hFT1-2,Exclusive Unique Peptide Count_hFT1-3,Protein Identification Probability_hFT1-1,Protein Identification Probability_hFT1-2,Protein Identification Probability_hFT1-3,Percent Coverage_hFT1-1,Percent Coverage_hFT1-2,Percent Coverage_hFT1-3,Percentage of Total Spectra_hFT1-1,Percentage of Total Spectra_hFT1-2,Percentage of Total Spectra_hFT1-3
Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,H4C1,11 kDa,,47,44,44,47,44,44,15,13,12,15,13,12,7,8,6,7,8,6,100%,100%,100%,52.40%,54.40%,53.40%,0.07%,0.07%,0.07%
Histone H3.3C OS=Homo sapiens OX=9606 GN=H3F3C PE=1 SV=3,H3F3C,15 kDa,TRUE,2,3,4,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,15%,23%,22%,6.67%,6.67%,6.67%,0.00%,0.00%,0.01%
Histone H2B type 1-O OS=Homo sapiens OX=9606 GN=HIST1H2BO PE=1 SV=3,HIST1H2BO,14 kDa,TRUE,199,160,177,0,0,0,7,4,4,0,0,0,5,4,4,0,0,0,27%,31%,31%,30.20%,23.80%,23.80%,0.29%,0.25%,0.28%
Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AFV PE=1 SV=3,H2AFV,14 kDa,TRUE,13,14,15,1,0,0,2,1,1,1,0,0,2,1,1,1,0,0,100%,26%,80%,18.00%,7.03%,7.03%,0.02%,0.02%,0.02%
Histone H2A type 1-C OS=Homo sapiens OX=9606 GN=HIST1H2AC PE=1 SV=3,HIST1H2AC,14 kDa,TRUE,46,43,40,34,29,25,3,3,3,2,2,2,2,2,2,1,1,1,100%,100%,100%,21.50%,21.50%,21.50%,0.07%,0.07%,0.06%
Histone H1x OS=Homo sapiens OX=9606 GN=H1FX PE=1 SV=1,H1FX,22 kDa,,3,0,0,3,0,0,3,0,0,3,0,0,2,0,0,2,0,0,100%,79%,74%,7.51%,0.00%,0.00%,0.00%,0.00%,0.00%
Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3,H1-5,23 kDa,,5,2,3,5,2,3,4,1,2,4,1,2,4,1,2,4,1,2,100%,100%,100%,15.00%,5.31%,5.75%,0.01%,0.00%,0.00%
Histone H1t OS=Homo sapiens OX=9606 GN=HIST1H1T PE=2 SV=4,HIST1H1T,22 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3,H1-0,21 kDa,,9,7,6,9,7,6,4,3,2,4,3,2,2,2,2,2,2,2,100%,100%,100%,10.80%,10.80%,10.80%,0.01%,0.01%,0.01%
High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3,HMGB1,25 kDa,,7,1,3,7,1,3,5,1,3,5,1,3,3,1,2,3,1,2,100%,100%,100%,14.00%,6.51%,13.50%,0.01%,0.00%,0.00%
Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,HNRNPC,34 kDa,TRUE,13,9,9,11,7,6,7,4,3,5,2,1,4,3,3,3,2,1,100%,100%,100%,15.70%,10.50%,10.80%,0.02%,0.01%,0.01%
Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,HNRNPA2B1,37 kDa,,18,16,18,18,16,18,10,9,10,10,9,10,8,7,7,8,7,7,100%,100%,100%,27.50%,27.20%,27.20%,0.03%,0.03%,0.03%
Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1,HNRNPUL2,85 kDa,,2,1,2,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,99%,3.75%,2.01%,2.01%,0.00%,0.00%,0.00%
Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2,HNRNPUL1,96 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,7%,16%,3.62%,0.00%,0.00%,0.00%,0.00%,0.00%
Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,HNRNPU,91 kDa,,29,20,23,29,20,23,19,10,13,19,10,13,10,5,7,10,5,7,100%,100%,100%,17.20%,10.50%,14.80%,0.04%,0.03%,0.04%
Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1,HNRNPR,71 kDa,TRUE,14,13,12,10,8,7,7,6,5,5,4,3,6,6,5,4,4,3,100%,100%,100%,9.79%,9.79%,8.06%,0.02%,0.02%,0.02%
Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,HNRNPM,78 kDa,,5,3,2,5,3,2,5,2,2,5,2,2,5,2,2,5,2,2,100%,100%,100%,9.32%,5.21%,5.21%,0.01%,0.00%,0.00%
Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2,HNRNPL,64 kDa,,9,4,3,9,4,3,8,4,3,8,4,3,5,3,3,5,3,3,100%,100%,100%,10.50%,8.15%,8.15%,0.01%,0.01%,0.00%
Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,HNRNPK,51 kDa,,32,29,25,32,29,25,11,8,8,11,8,8,6,6,6,6,6,6,100%,100%,100%,14.70%,14.70%,14.70%,0.05%,0.05%,0.04%
Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,HNRNPH1,49 kDa,TRUE,22,16,19,4,2,3,9,7,8,4,2,2,6,5,5,3,2,2,100%,100%,100%,19.20%,16.50%,16.50%,0.03%,0.03%,0.03%
Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,HNRNPH3,37 kDa,,16,5,5,16,5,5,5,4,3,5,4,3,2,2,2,2,2,2,100%,100%,100%,8.38%,8.38%,8.38%,0.02%,0.01%,0.01%
Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,HNRNPDL,46 kDa,,8,9,10,4,5,6,5,3,4,3,2,3,4,3,4,3,2,3,100%,100%,100%,9.76%,8.10%,9.76%,0.01%,0.01%,0.02%
Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1,HNRNPD,38 kDa,,9,7,6,5,3,2,3,2,2,1,1,1,2,2,2,1,1,1,100%,100%,100%,6.76%,6.76%,6.76%,0.01%,0.01%,0.01%
Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,HNRNPA3,40 kDa,,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,100%,8.99%,2.65%,2.65%,0.00%,0.00%,0.00%
Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens OX=9606 GN=HNRNPA1L2 PE=2 SV=2,HNRNPA1L2,34 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18%,0,0,0.00%,0,0,0.00%
Heterochromatin protein 1-binding protein 3 OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1,HP1BP3,61 kDa,,24,15,16,24,15,16,10,7,6,10,7,6,6,5,5,6,5,5,100%,100%,100%,11.40%,9.95%,9.95%,0.04%,0.02%,0.03%
Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2,HPX,52 kDa,,28,22,21,28,22,21,10,10,9,10,10,9,6,6,6,6,6,6,100%,100%,100%,16.20%,16.20%,16.20%,0.04%,0.03%,0.03%
Hemoglobin subunit epsilon OS=Homo sapiens OX=9606 GN=HBE1 PE=1 SV=2,HBE1,16 kDa,TRUE,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,13%,0,0,6.80%,0,0,0.00%,0
Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,HBA1,15 kDa,,31,31,27,31,31,27,8,8,5,8,8,5,4,3,2,4,3,2,100%,100%,100%,34.50%,23.20%,16.90%,0.05%,0.05%,0.04%
Heat shock protein beta-6 OS=Homo sapiens OX=9606 GN=HSPB6 PE=1 SV=2,HSPB6,17 kDa,,6,2,2,6,2,2,6,2,1,6,2,1,4,1,1,4,1,1,100%,100%,100%,33.80%,8.12%,8.12%,0.01%,0.00%,0.00%
Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,HSPB1,23 kDa,,49,39,35,49,39,35,16,13,13,16,13,13,8,7,7,8,7,7,100%,100%,100%,54.60%,49.30%,49.30%,0.07%,0.06%,0.06%
Putative heat shock protein HSP 90-beta-3 OS=Homo sapiens OX=9606 GN=HSP90AB3P PE=5 SV=1,HSP90AB3P,68 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1,HSPH1,97 kDa,TRUE,3,2,2,0,1,0,1,2,1,0,1,0,1,2,1,0,1,0,18%,88%,77%,1.63%,2.80%,1.63%,0.00%,0.00%,0.00%
Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1,HSPA2,70 kDa,TRUE,33,30,27,5,4,4,12,10,11,3,2,2,9,7,8,3,2,2,100%,100%,100%,16.40%,12.50%,14.10%,0.05%,0.05%,0.04%
Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,HSPA8,71 kDa,TRUE,53,47,39,25,21,16,24,20,18,15,12,9,16,15,14,10,10,8,100%,100%,100%,31.40%,29.30%,29.10%,0.08%,0.07%,0.06%
Heat shock 70 kDa protein 12A OS=Homo sapiens OX=9606 GN=HSPA12A PE=1 SV=2,HSPA12A,75 kDa,,4,3,3,4,3,3,4,3,3,4,3,3,4,2,3,4,2,3,100%,100%,100%,8.00%,6.67%,5.19%,0.01%,0.00%,0.00%
Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,HSPA4,94 kDa,TRUE,8,5,4,5,4,2,4,4,3,3,3,2,4,4,3,3,3,2,100%,100%,100%,6.55%,6.19%,4.64%,0.01%,0.01%,0.01%
Putative heat shock 70 kDa protein 7 OS=Homo sapiens OX=9606 GN=HSPA7 PE=5 SV=2,HSPA7,40 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1,HP,45 kDa,,53,40,41,53,40,41,24,21,18,24,21,18,15,13,12,15,13,12,100%,100%,100%,40.60%,38.40%,36.50%,0.08%,0.06%,0.07%
Guanine nucleotide-binding protein G(q) subunit alpha OS=Homo sapiens OX=9606 GN=GNAQ PE=1 SV=4,GNAQ,42 kDa,,3,0,2,3,0,2,2,0,2,2,0,2,2,0,2,2,0,2,100%,46%,100%,7.80%,0.00%,7.80%,0.00%,0.00%,0.00%
Guanine nucleotide-binding protein G(t) subunit alpha-3 OS=Homo sapiens OX=9606 GN=GNAT3 PE=2 SV=2,GNAT3,40 kDa,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens OX=9606 GN=GNB4 PE=1 SV=3,GNB4,38 kDa,TRUE,2,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,52%,8%,8%,3.82%,3.82%,3.82%,0.00%,0.00%,0.00%
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens OX=9606 GN=GNB1 PE=1 SV=3,GNB1,37 kDa,TRUE,7,2,1,4,2,1,3,2,1,2,2,1,3,2,1,2,2,1,100%,100%,100%,16.20%,9.41%,3.53%,0.01%,0.00%,0.00%
Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens OX=9606 GN=GRHPR PE=1 SV=1,GRHPR,36 kDa,,3,2,3,3,2,3,2,1,2,2,1,2,2,1,2,2,1,2,100%,100%,100%,8.23%,5.18%,10.70%,0.00%,0.00%,0.00%
Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1,GLOD4,35 kDa,,3,3,2,3,3,2,2,2,1,2,2,1,2,2,1,2,2,1,100%,100%,99%,7.35%,7.35%,4.15%,0.00%,0.00%,0.00%
"Glycogen phosphorylase, muscle form OS=Homo sapiens OX=9606 GN=PYGM PE=1 SV=6",PYGM,97 kDa,TRUE,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,35%,6%,12%,1.43%,1.43%,0.00%,0.00%,0.00%,0.00%
Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,GAPDH,36 kDa,,49,42,44,49,42,44,19,15,14,19,15,14,7,5,6,7,5,6,100%,100%,100%,27.50%,17.00%,23.30%,0.07%,0.07%,0.07%
"Glutathione reductase, mitochondrial OS=Homo sapiens OX=9606 GN=GSR PE=1 SV=2",GSR,56 kDa,,18,11,8,18,11,8,10,7,5,10,7,5,6,5,5,6,5,5,100%,100%,100%,18.80%,17.40%,18.60%,0.03%,0.02%,0.01%
Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2,GSTP1,23 kDa,,32,18,26,32,18,26,14,10,11,14,10,11,4,5,4,4,5,4,100%,100%,100%,30.50%,35.70%,30.50%,0.05%,0.03%,0.04%
"Glutamate dehydrogenase 2, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD2 PE=1 SV=2",GLUD2,61 kDa,TRUE,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,47%,0,0,5.56%,0,0,0.00%,0,0
Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2,PRKCSH,59 kDa,,5,0,1,5,0,1,5,0,1,5,0,1,4,0,1,4,0,1,100%,69%,100%,8.33%,0.00%,1.89%,0.01%,0.00%,0.00%
Glia-derived nexin OS=Homo sapiens OX=9606 GN=SERPINE2 PE=1 SV=1,SERPINE2,44 kDa,,5,4,2,5,4,2,2,2,1,2,2,1,2,2,1,2,2,1,100%,100%,99%,6.53%,6.53%,3.02%,0.01%,0.01%,0.00%
Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,GSN,86 kDa,,45,37,27,45,37,27,21,14,11,21,14,11,11,8,6,11,8,6,100%,100%,100%,25.20%,14.70%,12.30%,0.07%,0.06%,0.04%
Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,ADD3,79 kDa,,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,100%,100%,100%,1.98%,1.98%,4.25%,0.00%,0.00%,0.00%
Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1,LGALS3BP,65 kDa,,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,100%,99%,100%,4.44%,2.22%,2.22%,0.00%,0.00%,0.00%
Galectin-3 OS=Homo sapiens OX=9606 GN=LGALS3 PE=1 SV=5,LGALS3,26 kDa,,7,5,7,7,5,7,4,3,3,4,3,3,3,2,2,3,2,2,100%,100%,100%,15.20%,9.60%,9.60%,0.01%,0.01%,0.01%
Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2,LGALS1,15 kDa,,20,21,21,20,21,21,9,6,8,9,6,8,4,4,4,4,4,4,100%,100%,100%,31.90%,31.90%,31.90%,0.03%,0.03%,0.03%
GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3,RAN,24 kDa,,9,9,8,9,9,8,4,5,3,4,5,3,4,4,3,4,4,3,100%,100%,100%,17.60%,18.10%,17.60%,0.01%,0.01%,0.01%
Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2,ALDOC,39 kDa,TRUE,10,14,10,10,10,9,3,6,4,3,3,3,1,3,2,1,1,1,99%,100%,100%,6.32%,14.80%,7.14%,0.02%,0.02%,0.02%
Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,ALDOA,39 kDa,TRUE,31,28,25,31,24,24,15,16,13,15,13,12,10,10,8,10,8,7,100%,100%,100%,30.50%,32.70%,28.00%,0.05%,0.04%,0.04%
Four and a half LIM domains protein 2 OS=Homo sapiens OX=9606 GN=FHL2 PE=1 SV=3,FHL2,32 kDa,,9,5,5,9,5,5,7,3,3,7,3,3,6,3,3,6,3,3,100%,100%,100%,20.10%,13.60%,10.00%,0.01%,0.01%,0.01%
Four and a half LIM domains protein 1 OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=4,FHL1,36 kDa,,19,14,15,19,14,15,8,6,7,8,6,7,5,4,4,5,4,4,100%,100%,100%,18.90%,14.90%,14.90%,0.03%,0.02%,0.02%
Flotillin-2 OS=Homo sapiens OX=9606 GN=FLOT2 PE=1 SV=2,FLOT2,47 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,0,22%,5.84%,0,0.00%,0.00%,0,0.00%
Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,FLNC,291 kDa,TRUE,54,49,43,30,26,20,33,29,26,23,19,15,26,23,21,19,17,14,100%,100%,100%,14.00%,12.10%,11.40%,0.08%,0.08%,0.07%
Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,FLNB,278 kDa,TRUE,89,70,68,71,52,50,52,40,39,46,32,31,42,31,32,37,26,27,100%,100%,100%,22.10%,16.50%,16.90%,0.13%,0.11%,0.11%
Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,FLNA,281 kDa,TRUE,783,721,725,762,700,704,237,212,201,229,204,192,118,106,105,113,102,100,100%,100%,100%,60.10%,54.30%,54.00%,1.10%,1.10%,1.10%
Filamin A-interacting protein 1-like OS=Homo sapiens OX=9606 GN=FILIP1L PE=1 SV=2,FILIP1L,130 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,48%,0,2.56%,0.00%,0,0.00%,0.00%,0
Fibulin-5 OS=Homo sapiens OX=9606 GN=FBLN5 PE=1 SV=1,FBLN5,50 kDa,,24,23,24,24,23,24,11,7,7,11,7,7,4,5,4,4,5,4,100%,100%,100%,11.80%,14.30%,11.80%,0.04%,0.04%,0.04%
Fibulin-2 OS=Homo sapiens OX=9606 GN=FBLN2 PE=1 SV=2,FBLN2,127 kDa,,4,1,1,4,1,1,4,1,1,4,1,1,3,1,1,3,1,1,100%,97%,100%,5.74%,1.01%,1.01%,0.01%,0.00%,0.00%
Fibulin-1 OS=Homo sapiens OX=9606 GN=FBLN1 PE=1 SV=4,FBLN1,77 kDa,,6,3,3,6,3,3,4,1,2,4,1,2,3,1,2,3,1,2,100%,100%,100%,5.26%,1.42%,2.99%,0.01%,0.00%,0.00%
Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,FN1,272 kDa,,211,181,167,211,181,167,92,72,68,92,72,68,46,37,41,46,37,41,100%,100%,100%,28.50%,22.90%,25.80%,0.31%,0.28%,0.26%
Fibromodulin OS=Homo sapiens OX=9606 GN=FMOD PE=1 SV=2,FMOD,43 kDa,,9,10,9,9,10,9,5,6,6,5,6,6,4,4,4,4,4,4,100%,100%,100%,12.50%,15.40%,15.40%,0.01%,0.02%,0.01%
Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3,FGG,52 kDa,,35,30,30,35,30,30,19,14,15,19,14,15,12,9,11,12,9,11,100%,100%,100%,31.60%,24.30%,27.60%,0.05%,0.05%,0.05%
Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2,FGB,56 kDa,,62,51,43,62,51,43,35,22,22,35,22,22,15,14,14,15,14,14,100%,100%,100%,35.60%,35.60%,33.80%,0.09%,0.08%,0.07%
Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2,FGA,95 kDa,,31,26,26,31,26,26,16,15,10,16,15,10,11,12,8,11,12,8,100%,100%,100%,18.90%,20.20%,14.00%,0.05%,0.04%,0.04%
Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3,FBN2,315 kDa,TRUE,15,14,13,5,5,3,8,6,8,4,3,3,5,4,4,3,3,2,100%,100%,100%,2.13%,1.89%,1.75%,0.02%,0.02%,0.02%
Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4,FBN1,312 kDa,TRUE,425,371,385,415,362,375,156,144,146,152,141,141,75,71,74,73,70,72,100%,100%,100%,38.70%,35.00%,39.10%,0.62%,0.57%,0.61%
Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1,FERMT2,78 kDa,,13,5,2,13,5,2,10,4,2,10,4,2,7,4,2,7,4,2,100%,100%,100%,19.70%,11.80%,2.65%,0.02%,0.01%,0.00%
Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,FSCN1,55 kDa,,14,8,8,14,8,8,10,6,6,10,6,6,5,5,5,5,5,5,100%,100%,100%,14.40%,14.40%,13.20%,0.02%,0.01%,0.01%
Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,KHSRP,73 kDa,,5,4,5,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,100%,100%,100%,5.20%,5.20%,5.20%,0.01%,0.01%,0.01%
Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3,FUBP1,68 kDa,,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,4.04%,4.04%,4.04%,0.00%,0.00%,0.00%
F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4,CAPZB,31 kDa,,6,1,2,6,1,2,5,1,2,5,1,2,4,1,2,4,1,2,100%,99%,100%,21.30%,3.25%,10.80%,0.01%,0.00%,0.00%
F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3,CAPZA2,33 kDa,TRUE,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12%,0,0,3.50%,0,0,0.00%
Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,ESYT1,123 kDa,,4,3,3,4,3,3,4,3,3,4,3,3,3,2,3,3,2,3,100%,100%,100%,3.89%,2.54%,3.89%,0.01%,0.00%,0.00%
Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3,CSE1L,110 kDa,,38,36,48,38,36,48,2,1,2,2,1,2,2,1,2,2,1,2,100%,96%,100%,2.57%,0.82%,2.37%,0.06%,0.06%,0.08%
Eukaryotic translation initiation factor 5A-1-like OS=Homo sapiens OX=9606 GN=EIF5AL1 PE=2 SV=2,EIF5AL1,17 kDa,TRUE,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,94%,19%,44%,11.70%,0.00%,11.70%,0.00%,0.00%,0.00%
Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2,EIF4A2,46 kDa,,6,6,7,6,6,7,4,3,4,4,3,4,4,3,4,4,3,4,100%,100%,100%,13.50%,10.10%,13.50%,0.01%,0.01%,0.01%
Erlin-2 OS=Homo sapiens OX=9606 GN=ERLIN2 PE=1 SV=1,ERLIN2,38 kDa,TRUE,5,5,3,2,3,1,3,3,2,1,2,1,3,3,2,1,2,1,100%,100%,100%,10.60%,10.00%,7.08%,0.01%,0.01%,0.00%
Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3,EPPK1,556 kDa,TRUE,1,3,1,0,1,0,1,2,1,0,1,0,1,2,1,0,1,0,37%,99%,33%,0.20%,0.39%,0.20%,0.00%,0.00%,0.00%
Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens OX=9606 GN=EPS8 PE=1 SV=1,EPS8,92 kDa,,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,100%,0,0,3.16%,0,0,0.00%,0,0
Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,HSP90B1,92 kDa,TRUE,19,9,12,18,8,11,13,5,7,12,4,6,10,5,7,9,4,6,100%,100%,100%,17.40%,8.72%,9.46%,0.03%,0.01%,0.02%
Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,HSPA5,72 kDa,TRUE,66,55,50,54,43,40,26,21,22,23,18,19,20,16,17,18,14,15,100%,100%,100%,34.70%,29.40%,31.70%,0.10%,0.09%,0.08%
"Elongation factor Tu, mitochondrial OS=Homo sapiens OX=9606 GN=TUFM PE=1 SV=2",TUFM,50 kDa,,3,4,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,100%,100%,100%,5.75%,5.75%,5.75%,0.00%,0.01%,0.00%
Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,EEF2,95 kDa,TRUE,15,15,15,15,15,13,8,9,10,8,9,8,6,6,7,6,6,6,100%,100%,100%,10.30%,9.56%,10.70%,0.02%,0.02%,0.02%
Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,EEF1G,50 kDa,,7,5,4,7,5,4,5,4,3,5,4,3,4,3,3,4,3,3,100%,100%,100%,10.80%,11.40%,11.40%,0.01%,0.01%,0.01%
Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,EEF1D,31 kDa,,9,3,4,9,3,4,7,2,4,7,2,4,6,2,4,6,2,4,100%,100%,100%,28.50%,7.47%,20.30%,0.01%,0.00%,0.01%
Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3,EEF1B2,25 kDa,,6,8,6,6,8,6,3,5,4,3,5,4,2,3,3,2,3,3,100%,100%,100%,12.40%,16.40%,16.40%,0.01%,0.01%,0.01%
Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1,EEF1A2,50 kDa,TRUE,14,16,19,0,0,0,5,5,5,0,0,0,3,3,3,0,0,0,43%,55%,49%,6.48%,6.48%,6.48%,0.02%,0.03%,0.03%
